縣市別,商號名稱,負責人,營業所地址,電話,藥品管理技術人,備註
"10018","岱強企業有限公司","李合發","新竹市民生路194號7樓之2","(03)5327548","王啟興",""
"10018","尚樺企業商行","林保衡","新竹市武陵路175巷6號5樓之2","(03)5451263","彭德城",""
"10018","鎧富有限公司","許月萍","新竹市明湖路432號","(03)5191953","郭信豐",""
"10018","東森寵物雲股份有限公司新竹經國分公司","陳安祥","新竹市經國路二段19號","(03)5343636","黃滄海",""
"10018","美奇水族館","吳紀緒","新竹市民族路160號1樓","(03)5725266","莊瑞銓","販售觀賞魚非處方藥品"
"10018","上暉水族館","黃文堂","新竹市食品路419之1號","(03)5256309","黃文堂","販售觀賞魚非處方藥品"
"10018","魚中魚水族寵物有限公司經國分公司","曾錦皇","新竹市經國路三段6號","(03)5398666","朱靖諺","販售觀賞魚非處方藥品"
"10018","魚中魚樂活有限公司新竹分公司","曾錦皇","新竹市東光路177號","(03)5617899","劉定宇","販售觀賞魚非處方藥品"
"10018","魚中魚樂活有限公司民權分公司","曾錦皇","新竹市經國路一段776號","(03)5322888","張瑋倫","販售觀賞魚非處方藥品"
